,precision,recall,f1-score,support
Amphibolittic_gneiss,0.6358695652173914,0.8068965517241379,0.7112462006079028,145.0
Augen_gneiss,0.5660377358490566,0.8823529411764706,0.6896551724137931,34.0
Blackshale,0.7850467289719626,0.8076923076923077,0.7962085308056872,104.0
Drammensgranite,1.0,0.96045197740113,0.9798270893371758,177.0
Elnes_lime_shale,0.9722222222222222,0.8974358974358975,0.9333333333333333,78.0
Granittic_gneiss,0.8963414634146342,0.7636363636363637,0.8246844319775596,385.0
Hagaberg_shale,0.6875,0.7333333333333333,0.7096774193548387,45.0
Hornfels,0.8913043478260869,1.0,0.9425287356321839,41.0
Huk_limestone,0.8103448275862069,0.8392857142857143,0.8245614035087719,56.0
Rhomb_porphyry,0.9683544303797469,0.9622641509433962,0.9652996845425867,159.0
accuracy,0.8488562091503268,0.8488562091503268,0.8488562091503268,0.8488562091503268
macro avg,0.8213021321467309,0.8653349237628751,0.8377022001513833,1224.0
weighted avg,0.8642521810232991,0.8488562091503268,0.852414063520177,1224.0
