candidate,runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,transition_macro_f1_mean,transition_macro_f1_std,selection_score_mean,selection_score_std
all_48__lightgbm,3,0.8453514739229026,0.006787587096188542,0.8595450132556071,0.019543564049400757,0.8356378232127092,0.016456832728771253,0.5222422982818318,0.07701621617455588,0.7464006037420255,0.033957251671861054
all_48__extratrees,3,0.8344671201814059,0.004205722673694185,0.8548997207062484,0.014560680454233635,0.8229144915258599,0.009796883651680818,0.5275719580045709,0.06434315445871425,0.7407087773055508,0.026264916467349776
penetration__lightgbm,3,0.6394557823129251,0.017316900763752183,0.6676301559846337,0.006072855041275856,0.6295895137026785,0.01152202453536928,0.4402092501263264,0.035302946079325964,0.5803835630861639,0.017088370148752523
penetration__extratrees,3,0.6444444444444445,0.017576256122518015,0.6813855314917503,0.011279132662899516,0.640569992619276,0.014746346289154296,0.40962843578789715,0.023434213459676258,0.5794506333443573,0.01579431764089718
rotation_pressure__lightgbm,3,0.6226757369614512,0.01032182011495786,0.6303652778026395,0.0049270710154045196,0.5973178272766011,0.005840670001172587,0.3691870804989497,0.033149181371407446,0.5354880933485133,0.006419162258445112
rotation_pressure__extratrees,3,0.61859410430839,0.00833776703439921,0.652795658987145,0.019560288115016193,0.6020099199316514,0.010566960367009161,0.3666726103711951,0.0364092408182237,0.5415658748746132,0.011408349581978774
feed_hammer_pressure__lightgbm,3,0.653968253968254,0.006118248327996402,0.6411096208742079,0.009417793925168658,0.6009803710282823,0.006654952495199286,0.3702657122185166,0.0570277948821732,0.5397918233545377,0.019041977390797587
feed_hammer_pressure__extratrees,3,0.6439909297052154,0.0027956526090562304,0.6347245814980228,0.011220290266597882,0.5885216003892656,0.007101243562714073,0.33609263182030585,0.056469449751029584,0.5220335060403292,0.019965410587022447
water_flow__lightgbm,3,0.6820861678004535,0.009316389380577831,0.653893041828404,0.013870297484487868,0.6292308919810506,0.011379814694013031,0.3720076099307004,0.07538105630484206,0.5569963373354162,0.0301694092716798
water_flow__extratrees,3,0.6902494331065759,0.005009234021400085,0.6584466818103075,0.015870241287911376,0.6293391540983916,0.015116665465842295,0.3736866082783659,0.08701514271630674,0.5584648958947671,0.03615933568075812
